Timestamp | Level | Message
2026-03-02T20:10:34.866Z | INFO | [RepairService] | User 6149 | Robot 50309 (User2Robot1) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:34.875Z | INFO | [RepairService] | User 6148 | Robot 50304 (User1Robot0) | Cost: ₡32,085 | Discount: 0%
2026-03-02T20:10:34.879Z | INFO | [RepairService] | User 6148 | Robot 50307 (User1Robot3) | Cost: ₡31,740 | Discount: 0%
2026-03-02T20:10:34.884Z | INFO | [RepairService] | User 6148 | Robot 50305 (User1Robot1) | Cost: ₡15,410 | Discount: 0%
2026-03-02T20:10:34.889Z | INFO | [RepairService] | User 6148 | Robot 50306 (User1Robot2) | Cost: ₡31,740 | Discount: 0%
2026-03-02T20:10:34.898Z | INFO | [RepairService] | User 6145 | Robot 50303 (User2Robot3) | Cost: ₡32,430 | Discount: 0%
2026-03-02T20:10:34.902Z | INFO | [RepairService] | User 6145 | Robot 50300 (User2Robot0) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:34.907Z | INFO | [RepairService] | User 6145 | Robot 50301 (User2Robot1) | Cost: ₡15,640 | Discount: 0%
2026-03-02T20:10:34.910Z | INFO | [RepairService] | User 6145 | Robot 50302 (User2Robot2) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:34.918Z | INFO | [RepairService] | User 6144 | Robot 50296 (User1Robot0) | Cost: ₡15,410 | Discount: 0%
2026-03-02T20:10:34.923Z | INFO | [RepairService] | User 6144 | Robot 50297 (User1Robot1) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.934Z | INFO | [RepairService] | User 6144 | Robot 50298 (User1Robot2) | Cost: ₡16,560 | Discount: 0%
2026-03-02T20:10:34.949Z | INFO | [RepairService] | User 6144 | Robot 50299 (User1Robot3) | Cost: ₡12,420 | Discount: 0%
2026-03-02T20:10:34.962Z | INFO | [RepairService] | User 6153 | Robot 50317 (User2Robot1) | Cost: ₡14,490 | Discount: 0%
2026-03-02T20:10:34.966Z | INFO | [RepairService] | User 6153 | Robot 50319 (User2Robot3) | Cost: ₡11,040 | Discount: 0%
2026-03-02T20:10:34.972Z | INFO | [RepairService] | User 6153 | Robot 50316 (User2Robot0) | Cost: ₡16,330 | Discount: 0%
2026-03-02T20:10:34.977Z | INFO | [RepairService] | User 6153 | Robot 50318 (User2Robot2) | Cost: ₡9,660 | Discount: 0%
2026-03-02T20:10:34.984Z | INFO | [RepairService] | User 6152 | Robot 50315 (User1Robot3) | Cost: ₡31,740 | Discount: 0%
2026-03-02T20:10:34.990Z | INFO | [RepairService] | User 6152 | Robot 50313 (User1Robot1) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:34.994Z | INFO | [RepairService] | User 6152 | Robot 50312 (User1Robot0) | Cost: ₡8,280 | Discount: 0%
2026-03-02T20:10:35.000Z | INFO | [RepairService] | User 6152 | Robot 50314 (User1Robot2) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:35.007Z | INFO | [RepairService] | User 6171 | Robot 50360 (User1Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.016Z | INFO | [RepairService] | User 6172 | Robot 50364 (User2Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.024Z | INFO | [RepairService] | User 6179 | Robot 50388 (User2Robot0) | Cost: ₡12,880 | Discount: 0%
2026-03-02T20:10:35.032Z | INFO | [RepairService] | User 6178 | Robot 50384 (User1Robot0) | Cost: ₡12,880 | Discount: 0%
2026-03-02T20:10:35.060Z | INFO | [RepairService] | User 6159 | Robot 50331 (User1Robot3) | Cost: ₡13,800 | Discount: 0%
2026-03-02T20:10:35.066Z | INFO | [RepairService] | User 6159 | Robot 50330 (User1Robot2) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:35.070Z | INFO | [RepairService] | User 6159 | Robot 50329 (User1Robot1) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:35.075Z | INFO | [RepairService] | User 6159 | Robot 50328 (User1Robot0) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:35.083Z | INFO | [RepairService] | User 6160 | Robot 50335 (User2Robot3) | Cost: ₡17,480 | Discount: 0%
2026-03-02T20:10:35.087Z | INFO | [RepairService] | User 6160 | Robot 50332 (User2Robot0) | Cost: ₡14,030 | Discount: 0%
2026-03-02T20:10:35.092Z | INFO | [RepairService] | User 6160 | Robot 50334 (User2Robot2) | Cost: ₡12,650 | Discount: 0%
2026-03-02T20:10:35.096Z | INFO | [RepairService] | User 6160 | Robot 50333 (User2Robot1) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:35.103Z | INFO | [RepairService] | User 6167 | Robot 50344 (User1Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.111Z | INFO | [RepairService] | User 6168 | Robot 50348 (User2Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.119Z | INFO | [RepairService] | User 6170 | Robot 50356 (User2Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.141Z | INFO | [RepairService] | User 6169 | Robot 50352 (User1Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.152Z | INFO | [RepairService] | User 6174 | Robot 50368 (User1Robot0) | Cost: ₡12,880 | Discount: 0%
2026-03-02T20:10:35.159Z | INFO | [RepairService] | User 6175 | Robot 50372 (User2Robot0) | Cost: ₡12,880 | Discount: 0%
2026-03-02T20:10:35.167Z | INFO | [RepairService] | User 6176 | Robot 50376 (User1Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.174Z | INFO | [RepairService] | User 6177 | Robot 50380 (User2Robot0) | Cost: ₡6,900 | Discount: 0%
2026-03-02T20:10:35.181Z | INFO | [RepairService] | User 6184 | Robot 50404 (User2Robot0) | Cost: ₡7,820 | Discount: 0%
2026-03-02T20:10:35.189Z | INFO | [RepairService] | User 6183 | Robot 50400 (User1Robot0) | Cost: ₡7,820 | Discount: 0%
2026-03-02T20:10:35.196Z | INFO | [RepairService] | User 6181 | Robot 50392 (User1Robot0) | Cost: ₡10,120 | Discount: 0%
2026-03-02T20:10:35.214Z | INFO | [RepairService] | User 6182 | Robot 50396 (User2Robot0) | Cost: ₡10,120 | Discount: 0%
